Project Number,Country,Financing,Project Type or Modality,Approval Date,ADB Financing (US$),Geographical Location,Sector
49450-036,Tonga,Sovereign,Grant,05/12/2022,"7,200,000.00",Nuku'alofa,Energy
49450-038,Regional,Sovereign,Technical Assistance,23/12/2022,"3,500,000.00","Marshall Islands - Nation-wide; Micronesia, Federated States of - Nation-wide",Energy
49453-002,Kiribati,Sovereign,Grant,30/08/2019,"33,000,000.00",South Tarawa,Water and other urban infrastructure and services
49453-003,Kiribati,Sovereign,Grant,24/11/2017,"2,000,000.00",South Tarawa,Water and other urban infrastructure and services
49454-001,Papua New Guinea,Sovereign,Technical Assistance,06/02/2017,"1,200,000.00","Nation-wide, Port Moresby",Water and other urban infrastructure and services
49455-002,Tonga,Sovereign,Grant,28/08/2019,"18,275,000.00",Nuku'alofa,Water and other urban infrastructure and services
49456-002,Regional,Sovereign,Grant,03/07/2017,"13,000,000.00","Marshall Islands - Nation-wide; Micronesia, Federated States of - Nation-wide",Education
49469-007,India,Sovereign,Loan,26/02/2019,"926,000,000.00",Mumbai,Transport
50010-002,"China, People's Republic of",Sovereign,Loan,23/10/2017,"150,000,000.00",Jinan,Transport
50013-002,Mongolia,Sovereign,Loan,24/05/2019,"38,000,000.00","Nation-wide, Hentiy Aymag, Khovsgol","Agriculture, natural resources and rural development | Industry and trade | Transport"
50020-002,Myanmar,Sovereign,Loan,28/11/2018,"298,900,000.00",Nation-wide,Energy
50024-002,Kyrgyz Republic,Sovereign,Grant,20/11/2017,"30,000,000.00",Nation-wide,Education
50028-001,Regional,Sovereign,Grant | Loan | Technical Assistance,14/12/2017,"17,000,000.00",Samoa - Nation-wide; Tonga - Nation-wide; Tuvalu - Nation-wide,Public sector management
50028-003,Regional,Sovereign,Grant | Loan,24/11/2020,"94,000,000.00","Cook Islands - Nation-wide; Kiribati - Nation-wide; Marshall Islands - Nation-wide; Micronesia, Federated States of - Nation-wide; Palau - Nation-wide; Samoa - Nation-wide; Solomon Islands - Nation-wide; Tonga - Nation-wide; Tuvalu - Nation-wide; Vanuatu - Nation-wide",Public sector management
50050-002,"China, People's Republic of",Sovereign,Loan,01/12/2016,"450,000,000.00",Nation-wide,Finance | Industry and trade | Information and communication technology | Transport | Water and other urban infrastructure and services
50050-003,"China, People's Republic of",Sovereign,Loan,12/12/2016,"130,000,000.00",Nation-wide,Industry and trade | Information and communication technology
50050-004,"China, People's Republic of",Sovereign,Loan,04/04/2018,"180,000,000.00",Guangxi,Finance | Industry and trade | Transport
50050-005,"China, People's Republic of",Sovereign,Loan,01/10/2021,"140,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Industry and trade"
50059-002,Nepal,Sovereign,Loan | Technical Assistance,29/06/2017,"150,000,000.00",Kathmandu Valley,Energy
50059-003,Nepal,Sovereign,Grant | Loan | Technical Assistance,26/06/2020,"200,000,000.00",Nation-wide,Energy
50062-001,Afghanistan,Sovereign,Grant,31/10/2016,"55,500,000.00",Nation-wide,Transport
50064-001,Georgia,Sovereign,Loan,28/03/2017,"114,000,000.00","Nation-wide, Batumi",Transport
50088-002,Mongolia,Sovereign,Grant | Loan,20/09/2018,"40,000,000.00",Nation-wide,Energy
50091-002,Mongolia,Sovereign,Loan,20/11/2017,"50,000,000.00",Nation-wide,Education
50092-001,Regional,Sovereign,Technical Assistance,27/07/2016,"7,500,000.00",Armenia - Nation-wide; Azerbaijan - Nation-wide; Bhutan - Nation-wide; Cambodia - Nation-wide; Fiji - Nation-wide; Georgia - Nation-wide; Kyrgyz Republic - Nation-wide; Nepal - Nation-wide; Thailand - Nation-wide; Turkmenistan - Nation-wide; Uzbekistan - Nation-wide,Multisector
50092-004,Regional,Sovereign,Technical Assistance,14/12/2018,"2,500,000.00",Regional,Multisector
50098-002,Viet Nam,Sovereign,Grant | Loan,11/12/2018,"188,360,000.00","Lai Chau, Lao Cai, Quang Nam, Yen Bai",Transport
50099-002,Cambodia,Sovereign,Grant | Loan,01/08/2018,"80,000,000.00",Nation-wide,Information and communication technology | Public sector management | Water and other urban infrastructure and services
50099-003,Lao People's Democratic Republic,Sovereign,Grant,14/09/2018,"48,000,000.00","Muang Pakxan, Thakhek",Water and other urban infrastructure and services
50101-002,Cambodia,Sovereign,Grant | Loan,30/09/2019,"49,000,000.00","Banteay Meanchey, Battambang, Kampong Chhnang, Kampong Speu, Kampong Thom, Kampot, Pursat, Siem Reap",Water and other urban infrastructure and services
50102-002,Cambodia,Sovereign,Grant | Loan,01/08/2018,"89,000,000.00","Battambang, Serei Saophoan, Stueng Saen",Water and other urban infrastructure and services
50107-001,Viet Nam,Sovereign,Technical Assistance,14/10/2016,0,Ho Chi Minh City,Water and other urban infrastructure and services
50121-001,Regional,Sovereign,Technical Assistance,02/11/2017,"3,050,000.00",Regional,"Agriculture, natural resources and rural development | Education | Energy | Health | Information and communication technology | Public sector management | Transport | Water and other urban infrastructure and services"
50130-002,Uzbekistan,Sovereign,Loan | Technical Assistance,30/09/2019,"61,000,000.00","Nation-wide, Qashqadaryo, Samarkand, Tashkent",Energy
50160-001,Regional,Sovereign,Technical Assistance,05/09/2016,"3,000,000.00",Regional,Education | Finance | Health | Industry and trade | Information and communication technology | Public sector management | Transport
50161-003,Bangladesh,Sovereign,Grant | Loan,26/06/2018,"500,000,000.00","Khalishpur, Khulna",Energy | Information and communication technology
50165-002,Bhutan,Sovereign,Grant | Loan,05/06/2018,"81,500,000.00",Phuentsholing,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services"
50172-002,Regional,Sovereign,Technical Assistance,10/11/2016,"5,000,000.00",Regional,Finance | Industry and trade | Public sector management
50176-002,Kyrgyz Republic,Sovereign,Grant | Loan,20/11/2018,"36,520,000.00",Ysyk-Kol,Water and other urban infrastructure and services
50190-002,Uzbekistan,Sovereign,Loan,27/11/2017,"45,000,000.00",Nation-wide,Health
50192-002,Bangladesh,Sovereign,Grant | Loan,27/09/2018,"500,000,000.00",Nation-wide,Education
50192-003,Bangladesh,Sovereign,Technical Assistance,04/12/2019,"500,000.00",Nation-wide,Education
50192-004,Bangladesh,Sovereign,Grant,24/04/2023,0,Nation-wide,Education
50193-003,India,Sovereign,Loan | Technical Assistance,28/04/2020,"347,000,000.00",Maharashtra,Energy
50201-001,"China, People's Republic of",Sovereign,Loan,12/12/2016,"50,000,000.00",Yichang,Health | Public sector management
50204-002,Papua New Guinea,Sovereign,Technical Assistance,10/12/2021,"1,500,000.00",Nation-wide,Public sector management
50211-001,Timor-Leste,Sovereign,Loan,11/11/2016,"49,650,000.00","Nation-wide, Baucau, Dili, Manatuto",Transport
50218-002,Myanmar,Sovereign,Grant | Loan,11/11/2019,"51,200,000.00","Ayeyarwady Region, Magway Region",Transport
50222-002,"China, People's Republic of",Sovereign,Loan,19/03/2020,"200,000,000.00",Chongqing,Education | Industry and trade | Public sector management
50236-001,Lao People's Democratic Republic,Sovereign,Technical Assistance,31/05/2017,"1,700,000.00","Houaphan, Luang Prabang, Vientiane, Xiangkhouang","Agriculture, natural resources and rural development"
50236-002,Lao People's Democratic Republic,Sovereign,Grant | Loan,20/09/2019,"45,000,000.00","Houaphan, Luang Prabang, Vientiane, Xiangkhouang","Agriculture, natural resources and rural development"
50240-001,Solomon Islands,Sovereign,Grant | Loan,26/09/2019,"30,000,000.00",Nation-wide,Energy
50258-001,Regional,Sovereign,Technical Assistance,14/12/2016,"3,000,000.00",Bangladesh - Nation-wide; Bhutan - Nation-wide; Kazakhstan - Nation-wide; Kyrgyz Republic - Nation-wide; Lao People's Democratic Republic - Nation-wide; Marshall Islands - Nation-wide; Mongolia - Nation-wide; Nepal - Nation-wide; Pakistan - Nation-wide; Papua New Guinea - Nation-wide; Philippines - Nation-wide; Samoa - Nation-wide; Sri Lanka - Nation-wide; Tajikistan - Nation-wide; Thailand - Nation-wide; Viet Nam - Nation-wide,Finance
50258-003,Regional,Sovereign,Technical Assistance,11/01/2019,"2,500,000.00",Bangladesh - Nation-wide; Bhutan - Nation-wide; Kazakhstan - Nation-wide; Kyrgyz Republic - Nation-wide; Lao People's Democratic Republic - Nation-wide; Marshall Islands - Nation-wide; Mongolia - Nation-wide; Nepal - Nation-wide; Pakistan - Nation-wide; Philippines - Nation-wide; Sri Lanka - Nation-wide; Tajikistan - Nation-wide; Thailand - Nation-wide; Viet Nam - Nation-wide,Finance
50259-002,Uzbekistan,Sovereign,Loan,15/05/2018,"145,000,000.00","Nation-wide, Karakalpakstan, Mangit, Muynak, Taxiatosh Shahri",Water and other urban infrastructure and services
50264-001,Cambodia,Sovereign,Technical Assistance,29/06/2018,0,"Kampong Cham, Kampong Thom, Otar Meanchey, Preah Vihear, Siem Reap, Tboung Khmum","Agriculture, natural resources and rural development | Information and communication technology | Transport"
50264-002,Cambodia,Sovereign,Grant | Loan,26/11/2020,"70,000,000.00","Kampong Cham, Kampong Thom, Otar Meanchey, Preah Vihear, Siem Reap, Tboung Khmum","Agriculture, natural resources and rural development | Finance | Transport"
50266-001,Regional,Sovereign,Technical Assistance,10/12/2018,"5,000,000.00",Cambodia - Nation-wide; Indonesia - Nation-wide; Lao People's Democratic Republic - Nation-wide; Myanmar - Nation-wide; Philippines - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services"
50275-002,Sri Lanka,Sovereign,Loan,30/08/2018,"145,000,000.00",Nation-wide,Education
50278-001,Mongolia,Sovereign,Grant,04/12/2017,0,Nation-wide,"Agriculture, natural resources and rural development"
50278-002,Mongolia,Sovereign,Grant,12/02/2020,0,Nation-wide,"Agriculture, natural resources and rural development"
50281-001,Tonga,Sovereign,Grant,25/07/2019,"7,500,000.00",Nation-wide,Health
50282-001,Regional,Sovereign,Grant | Loan,08/11/2018,"43,980,000.00",Samoa - Nation-wide; Tonga - Nation-wide; Tuvalu - Nation-wide; Vanuatu - Nation-wide,Health
50282-003,Regional,Sovereign,Grant,23/04/2021,"18,880,000.00",Samoa - Nation-wide; Tonga - Nation-wide; Tuvalu - Nation-wide; Vanuatu - Nation-wide,Health
50285-002,Viet Nam,Sovereign,Grant | Loan,10/12/2018,"100,600,000.00",Nation-wide,Health
50288-001,Philippines,Sovereign,Loan,27/10/2017,"300,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport"
50288-005,Philippines,Sovereign,Technical Assistance,28/12/2022,"1,060,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services"
50288-006,Philippines,Sovereign,Loan | Technical Assistance,07/12/2023,"200,500,000.00","Nation-wide, Agusan River, Cagayan de Oro, Cebu City, Clark, National Capital Region, Pampanga River, Province of Leyte, Province of Rizal, Subic","Agriculture, natural resources and rural development | Transport"
50295-001,Marshall Islands,Sovereign,Grant,13/10/2017,"4,500,000.00",Nation-wide,Public sector management
50295-002,Marshall Islands,Sovereign,Grant,17/09/2019,"500,000.00",Nation-wide,Public sector management
50295-003,Marshall Islands,Sovereign,Grant,30/07/2021,"2,000,000.00",Nation-wide,Public sector management
50296-002,Bhutan,Sovereign,Grant,30/08/2018,"15,000,000.00",Nation-wide,Education
50297-001,Indonesia,Sovereign,Loan,18/10/2019,"100,000,000.00",Nation-wide,Finance
50299-001,Sri Lanka,Sovereign,Loan | Technical Assistance,27/09/2018,"300,750,000.00",Nation-wide,Transport
50301-001,Sri Lanka,Sovereign,Loan,29/09/2017,"900,000,000.00",Nation-wide,Transport
50301-004,Sri Lanka,Sovereign,Loan,24/05/2021,"200,000,000.00","Nation-wide, Province of Uva",Transport
50301-005,Sri Lanka,Sovereign,Loan,20/11/2023,"60,000,000.00",Nation-wide,Transport
50312-003,Bangladesh,Sovereign,Loan | Technical Assistance,21/02/2018,"360,000,000.00",Nation-wide,Transport
50316-001,Pakistan,Sovereign,Grant | Loan | Technical Assistance,23/11/2016,"202,300,000.00",Nation-wide,Finance | Health
50322-002,"China, People's Republic of",Sovereign,Loan,04/12/2019,"130,000,000.00",Yanji,Transport | Water and other urban infrastructure and services
50325-001,Philippines,Sovereign,Technical Assistance,22/12/2017,"850,000.00",Nation-wide,Finance
50331-001,Philippines,Sovereign,Technical Assistance,29/11/2016,"3,800,000.00",Nation-wide,Public sector management
50333-001,Bangladesh,Sovereign,Loan,06/02/2020,"42,000,000.00",Nation-wide,Transport
50347-002,Tajikistan,Sovereign,Grant,27/09/2018,"79,180,000.00",Dushanbe,Water and other urban infrastructure and services
50348-001,Regional,Sovereign,Grant,28/03/2018,"36,600,000.00","Kiribati - Nation-wide; Micronesia, Federated States of - Nation-wide; Nauru - Nation-wide",Information and communication technology
50349-003,Sri Lanka,Sovereign,Technical Assistance,10/01/2022,"800,000.00",Nation-wide,Finance
50361-001,Regional,Sovereign,Technical Assistance,02/11/2017,"4,050,000.00",Regional,Education
50364-001,Regional,Sovereign,Technical Assistance,27/11/2017,"1,400,000.00",Regional,Public sector management
50375-001,Regional,Sovereign,Technical Assistance,12/07/2017,"1,500,000.00",Regional,Education | Finance | Health | Public sector management
50378-001,Fiji,Sovereign,Technical Assistance,24/11/2017,"1,475,000.00",Nation-wide,Public sector management
50381-006,Myanmar,Sovereign,Loan,29/10/2020,"483,800,000.00",Nation-wide,Transport
50388-002,Georgia,Sovereign,Technical Assistance,27/09/2019,"400,000.00",,Transport
50391-001,"China, People's Republic of",Sovereign,Loan,24/09/2019,"100,000,000.00",Guangxi,Health
50393-002,"China, People's Republic of",Sovereign,Loan,24/09/2019,"130,767,600.00",Nation-wide,"Agriculture, natural resources and rural development | Information and communication technology"
50394-002,Cambodia,Sovereign,Loan,24/06/2019,"60,000,000.00",Nation-wide,Education
50395-006,Indonesia,Sovereign,Loan,29/11/2018,"200,000,000.00","Aceh, Jambi, Riau, West Java",Education
50396-001,Regional,Sovereign,Technical Assistance,12/07/2017,"3,500,000.00",Regional,Finance
50398-001,Regional,Sovereign,Technical Assistance,26/09/2017,"225,000.00",Armenia - Nation-wide; Myanmar - Nation-wide,Finance
50399-003,Lao People's Democratic Republic,Sovereign,Loan,24/09/2019,"50,000,000.00",Nation-wide,Education
50404-001,Regional,Sovereign,Technical Assistance,07/12/2018,"3,000,000.00",Regional,Energy | Water and other urban infrastructure and services
50405-002,Regional,Sovereign,Technical Assistance,11/03/2020,0,"Brunei Darussalam - Nation-wide; Cambodia - Nation-wide; China - Nation-wide; Indonesia - Nation-wide; Korea, Republic of - Nation-wide; Lao People's Democratic Republic - Nation-wide; Malaysia - Nation-wide; Myanmar - Nation-wide; Philippines - Nation-wide; Singapore - Nation-wide; Thailand - Nation-wide; Viet Nam - Nation-wide",Finance
50407-001,Regional,Sovereign,Technical Assistance,10/03/2022,0,Lao People's Democratic Republic - Nation-wide; Philippines - Nation-wide; Thailand - Nation-wide; Timor-Leste - Nation-wide; Viet Nam - Nation-wide,Public sector management
50409-001,Regional,Sovereign,Technical Assistance,12/09/2017,"1,000,000.00","Cook Islands - Nation-wide; Fiji - Nation-wide; Kiribati - Nation-wide; Marshall Islands - Nation-wide; Micronesia, Federated States of - Nation-wide; Nauru - Nation-wide; Palau - Nation-wide; Papua New Guinea - Nation-wide; Samoa - Nation-wide; Tonga - Nation-wide; Vanuatu - Nation-wide",Information and communication technology
50409-002,Regional,Sovereign,Technical Assistance,16/03/2018,"700,000.00",Cook Islands - Nation-wide; Fiji - Nation-wide; Palau - Nation-wide; Papua New Guinea - Nation-wide; Samoa - Nation-wide; Tonga - Nation-wide; Vanuatu - Nation-wide,Information and communication technology
50409-003,Regional,Sovereign,Technical Assistance,06/09/2018,"300,000.00",Cook Islands - Nation-wide; Palau - Nation-wide; Samoa - Nation-wide; Tonga - Nation-wide,Information and communication technology
51005-002,"China, People's Republic of",Sovereign,Loan,17/09/2018,"150,000,000.00","Nation-wide, Chongqing","Agriculture, natural resources and rural development | Water and other urban infrastructure and services"
51010-002,Tajikistan,Sovereign,Grant,29/11/2018,"32,000,000.00","Nation-wide, Fayzobod, Rasht, Shurobod",Health
51010-003,Tajikistan,Sovereign,Technical Assistance,30/06/2023,"500,000.00",Nation-wide,Health
51011-003,Tajikistan,Sovereign,Grant,30/06/2020,"30,000,000.00",Nation-wide,Education | Information and communication technology
51012-003,Uzbekistan,Sovereign,Loan,11/12/2020,"93,000,000.00",Nation-wide,Education
51012-004,Uzbekistan,Sovereign,Technical Assistance,12/04/2019,"720,000.00",Nation-wide,Education
51033-001,"China, People's Republic of",Sovereign,Loan,03/12/2020,"150,000,000.00","Nation-wide, Anhui, Beijing, Hebei, Henan, Inner Mongolia, Jiangsu, Liaoning, Shaanxi, Shandong, Shanghai, Tianjin, Zhejiang",Energy | Finance
51034-002,Uzbekistan,Sovereign,Loan,17/04/2020,"60,000,000.00",Nation-wide,Water and other urban infrastructure and services
51035-001,Papua New Guinea,Sovereign,Grant | Loan,31/05/2018,"195,000,000.00",Nation-wide,Health | Public sector management
51036-002,Pakistan,Sovereign,Grant | Loan,10/12/2021,"385,000,000.00",Khyber Pakhtunkhwa,Water and other urban infrastructure and services
51036-003,Pakistan,Sovereign,Grant | Loan,15/03/2019,"7,000,000.00",Khyber Pakhtunkhwa,Water and other urban infrastructure and services
51037-001,Sri Lanka,Sovereign,Technical Assistance,03/07/2017,"750,000.00",Nation-wide,Public sector management
51039-002,Afghanistan,Sovereign,Grant,30/10/2018,"75,000,000.00","Bamyan, Ghazni, Kabul, Khost, Kunar, Laghman, Logar, Nangarhar, Paktia, Paktika, Wardak","Agriculture, natural resources and rural development"
51041-002,Uzbekistan,Sovereign,Loan,15/11/2018,"197,000,000.00",Nation-wide,"Agriculture, natural resources and rural development"
51048-001,Thailand,Sovereign,Technical Assistance,29/09/2017,"1,500,000.00",Bangkok,Transport
51052-001,Uzbekistan,Sovereign,Technical Assistance,07/08/2017,"1,000,000.00",Nation-wide,Transport
51052-002,Uzbekistan,Sovereign,Loan,20/05/2019,"170,000,000.00",Nation-wide,Transport
51059-002,Azerbaijan,Sovereign,Loan | Technical Assistance,28/11/2019,"250,950,000.00",Nation-wide,Finance | Public sector management
51063-001,Timor-Leste,Sovereign,Technical Assistance,27/11/2022,"2,600,000.00",Nation-wide,Education | Energy | Transport | Water and other urban infrastructure and services
51063-002,Timor-Leste,Sovereign,Technical Assistance,21/12/2017,"1,700,000.00",Nation-wide,Transport
51063-003,Timor-Leste,Sovereign,Technical Assistance,27/11/2023,"400,000.00",Nation-wide,Education
51066-002,Tajikistan,Sovereign,Technical Assistance,09/12/2019,"1,000,000.00",Nation-wide,Finance | Public sector management
51073-001,India,Sovereign,Technical Assistance,31/10/2018,"2,000,000.00",NCR,Transport
51073-002,India,Sovereign,Grant | Loan,18/08/2020,"1,049,000,000.00",NCR,Transport
51073-003,India,Sovereign,Grant | Loan,26/08/2020,"500,000,000.00",NCR,Transport
51073-004,India,Sovereign,Loan,03/12/2021,0,NCR,Transport
51077-002,Maldives,Sovereign,Grant | Technical Assistance,28/06/2018,"33,570,000.00",Male,Water and other urban infrastructure and services
51077-003,Maldives,Sovereign,Grant | Loan | Technical Assistance,12/08/2020,"73,890,000.00",Maale,Energy | Water and other urban infrastructure and services
51081-002,Kyrgyz Republic,Sovereign,Grant | Loan,27/11/2018,"38,600,000.00",Nation-wide,"Agriculture, natural resources and rural development"
51084-001,Mongolia,Sovereign,Loan,20/09/2018,"25,000,000.00",Nation-wide,Public sector management
51102-001,Mongolia,Sovereign,Grant,07/10/2019,0,Ulan Bator,Water and other urban infrastructure and services
51107-002,Sri Lanka,Sovereign,Grant | Loan,23/10/2018,"160,000,000.00","Central Province, North Central Province, Province of Sabaragamuwa, Province of Uva",Health
51114-001,Indonesia,Sovereign,Grant | Loan,24/11/2020,"600,000,000.00",Nation-wide,Energy
51115-001,Timor-Leste,Sovereign,Loan | Technical Assistance,21/02/2018,"45,000,000.00","Baucau, Viqueque",Transport
51116-002,"China, People's Republic of",Sovereign,Loan,16/11/2018,"300,000,000.00","Chongqing, Guizhou, Hubei, Hunan, Sichuan, Yunnan","Agriculture, natural resources and rural development"
51117-003,Philippines,Sovereign,Loan,11/12/2020,"123,000,000.00",National Capital Region,Transport
51118-001,Regional,Sovereign,Technical Assistance,29/01/2018,"250,000.00","China - Nation-wide; Kazakhstan - Nation-wide; Korea, Republic of - Nation-wide; Malaysia - Nation-wide; Thailand - Nation-wide; Viet Nam - Nation-wide",Finance
51126-002,Pakistan,Sovereign,Loan,25/10/2019,"75,000,000.00",Nation-wide,Education
51126-005,Pakistan,Sovereign,Technical Assistance,17/12/2021,"225,000.00",Sindh,Education
51129-001,Armenia,Sovereign,Technical Assistance,07/12/2017,"1,950,000.00",Nation-wide,Education | Health
51131-003,Pakistan,Sovereign,Loan,25/10/2022,"5,000,000.00",,"Agriculture, natural resources and rural development | Energy | Water and other urban infrastructure and services"
51131-004,Pakistan,Sovereign,Technical Assistance,15/12/2023,"528,000.00",Balochistan,"Agriculture, natural resources and rural development | Energy"
51132-002,Georgia,Sovereign,Loan | Technical Assistance,30/09/2020,"150,000,000.00","Nation-wide, Georgia","Agriculture, natural resources and rural development | Water and other urban infrastructure and services"
51137-001,Bangladesh,Sovereign,Grant | Loan,31/07/2018,"350,000,000.00",Nation-wide,Energy
51137-003,Bangladesh,Sovereign,Grant | Loan,08/11/2019,"300,000,000.00","Barisal, Dhaka, Khulna, Rajshahi, Rangpur",Energy
51141-002,Bhutan,Sovereign,Grant | Technical Assistance,05/10/2018,"20,500,000.00","Nation-wide, Gelephu, Paro, Phuentsholing, Samdrup Jongkhar, Samtse, Thimphu",Health
51142-001,Regional,Sovereign,Technical Assistance,28/07/2022,0,Fiji - Nation-wide; Samoa - Nation-wide; Solomon Islands - Nation-wide; Tonga - Nation-wide; Vanuatu - Nation-wide,Finance
51151-001,Regional,Sovereign,Technical Assistance,22/08/2018,"4,000,000.00",Cambodia - Nation-wide; China - Nation-wide; Lao People's Democratic Republic - Nation-wide; Myanmar - Nation-wide; Thailand - Nation-wide; Viet Nam - Nation-wide,Health
51155-002,Regional,Sovereign,Technical Assistance,06/12/2023,"5,000,000.00",Regional,Health | Industry and trade | Information and communication technology | Transport
51159-001,Cambodia,Sovereign,Technical Assistance,31/07/2017,"2,000,000.00",,"Agriculture, natural resources and rural development"
51159-002,Cambodia,Sovereign,Grant | Loan,04/12/2019,"119,160,000.00","Battambang Province, Kampong Cham Province, Kampong Thom, Takeo","Agriculture, natural resources and rural development"
51163-001,Regional,Sovereign,Technical Assistance,29/09/2017,"1,200,000.00",Philippines - Nation-wide; Viet Nam - Nation-wide,Finance
51175-001,Regional,Sovereign,Technical Assistance,27/07/2017,"4,900,000.00",Regional,Water and other urban infrastructure and services
51180-001,India,Sovereign,Loan,15/11/2018,"200,000,000.00",Bihar,Transport
51181-001,"China, People's Republic of",Sovereign,Loan,14/12/2017,"499,000,000.00","Beijing, Hebei, Henan, Inner Mongolia, Liaoning, Shandong, Shanxi, Tianjin","Agriculture, natural resources and rural development | Energy | Transport | Water and other urban infrastructure and services"
51182-001,Cambodia,Sovereign,Grant | Loan | Technical Assistance,23/05/2019,"7,640,000.00",Nation-wide,Energy
51189-001,"China, People's Republic of",Sovereign,Loan,13/12/2018,"200,000,000.00","Nation-wide, Ziyang Shi",Education | Water and other urban infrastructure and services
51190-001,Nepal,Sovereign,Grant | Loan,10/09/2018,"158,864,000.00","Bhaktapur, Dhading, Dolakha, Gorkha, Kabhre Palanchok, Kathmandu District, Lalipur, Makwanpur, Nuwakot, Okhaldhunga, Ramechhap, Rasuwa, Sindhuli, Sindhupalchok",Education
51192-001,"China, People's Republic of",Sovereign,Loan,21/10/2020,"420,000,000.00",Inner Mongolia,Industry and trade | Water and other urban infrastructure and services
51192-002,"China, People's Republic of",Sovereign,Loan,26/11/2020,"196,300,000.00",Inner Mongolia,Industry and trade
51193-002,Regional,Sovereign,Technical Assistance,29/11/2018,"2,000,000.00",Regional,Information and communication technology | Public sector management
51194-001,"China, People's Republic of",Sovereign,Loan,25/09/2019,"100,000,000.00",Shandong,Finance
51214-001,Solomon Islands,Sovereign,Grant,12/09/2018,"6,000,000.00",Nation-wide,Transport
51217-001,Mongolia,Sovereign,Grant,15/10/2018,0,"Nation-wide, Selenge Aymag, Suhbaatar Aymag, Ulaanbaatar, Uvs Aymag",Public sector management
51240-001,Uzbekistan,Sovereign,Loan,16/04/2019,"105,300,000.00","Chinoz, Yangiyul",Water and other urban infrastructure and services
51242-002,Myanmar,Sovereign,Grant | Loan,26/11/2019,"195,000,000.00","Ayeyarwady Region, Chin State, Sagaing Region, Tanintharyi Region","Agriculture, natural resources and rural development"
51249-004,Pakistan,Sovereign,Loan,28/11/2022,"3,600,000.00",,"Agriculture, natural resources and rural development"
51252-004,Bhutan,Sovereign,Loan | Technical Assistance,27/10/2020,"31,130,000.00",Nation-wide,Finance
51252-006,Bhutan,Sovereign,Technical Assistance,16/12/2021,"610,000.00",Nation-wide,Finance
51253-001,Regional,Sovereign,Technical Assistance,06/12/2017,"1,500,000.00",Cambodia - Nation-wide; Lao People's Democratic Republic - Nation-wide; Myanmar - Nation-wide; Viet Nam - Nation-wide,Finance
51254-001,Regional,Sovereign,Technical Assistance,15/12/2017,"2,475,000.00","Kazakhstan - Nation-wide, Almaty, Almaty; Kyrgyz Republic - Nation-wide, Bishkek","Agriculture, natural resources and rural development | Education | Health | Industry and trade | Information and communication technology | Public sector management | Transport | Water and other urban infrastructure and services"
51257-001,Georgia,Sovereign,Loan,01/08/2019,"415,000,000.00","K'veshet'i, Kobi",Transport
51257-002,Georgia,Sovereign,Technical Assistance,01/08/2018,"1,275,000.00",,Transport
51268-001,Samoa,Sovereign,Grant,02/12/2020,"40,000,000.00","Apia, Siumu Village",Transport
51269-003,Bangladesh,Sovereign,Loan | Technical Assistance,14/11/2022,"201,000,000.00",Nation-wide,Finance
51271-001,Solomon Islands,Sovereign,Grant | Loan,25/09/2019,"37,000,000.00","Nation-wide, Auki, Gizo, Honiara, Munda, Noro, Tulagi",Water and other urban infrastructure and services
51276-002,Regional,Sovereign,Technical Assistance,07/12/2018,"2,000,000.00",Kazakhstan; Kyrgyz Republic,"Agriculture, natural resources and rural development"
51294-001,Philippines,Sovereign,Grant | Loan,13/09/2023,"303,240,000.00","Abra River, Agus River, Tagum River","Agriculture, natural resources and rural development"
51294-002,Philippines,Sovereign,Technical Assistance,21/06/2018,"1,000,000.00","Abra River, Abulug River, Agus River, Buayan River, Jalaur River, Tagum River","Agriculture, natural resources and rural development"
51296-001,Bangladesh,Sovereign,Loan,03/10/2019,"11,000,000.00","Dhaka, Narayanganj",Water and other urban infrastructure and services
51297-001,Sri Lanka,Sovereign,Loan | Technical Assistance,18/09/2018,"11,000,000.00",Nation-wide,Transport | Water and other urban infrastructure and services
51308-001,India,Sovereign,Loan | Technical Assistance,04/11/2019,"452,150,000.00",Tamil Nadu,Energy
51308-004,India,Sovereign,Grant | Loan,30/10/2020,"132,800,000.00",Meghalaya,Energy
51308-009,India,Sovereign,Loan,10/11/2022,"220,000,000.00",Tripura,Energy
51309-003,Philippines,Sovereign,Loan,05/10/2023,"300,000,000.00",Nation-wide,Finance
51311-001,Bangladesh,Sovereign,Loan | Technical Assistance,18/08/2020,"50,650,000.00",Nation-wide,Finance | Public sector management
51314-001,Regional,Sovereign,Technical Assistance,17/07/2018,"2,916,000.00",Bangladesh - Nation-wide; Bhutan - Nation-wide; India - Nation-wide; Nepal - Nation-wide; Sri Lanka - Nation-wide,Transport
51320-001,Regional,Sovereign,Technical Assistance,05/12/2017,"5,000,000.00",Cambodia - Nation-wide; Thailand - Nation-wide,Public sector management
