Year,Country,Sector,Financing ,Name,Amount
2020,Pakistan ,CRF-Economic Resilience/PBF ,Sovereign ,Pakistan: Resilient Institutions for Sustainable Economy (RISE) Program ,Approved Financing: USD250 million 
,,,,,
2020,Türkiye ,CRF- Finance/Liquidity ,Sovereign ,Türkiye: COVID-19 Credit Line Project ,Approved Financing: USD500 million 
,,,,,
2020,Kazakhstan ,CRF-Economic Resilience/PBF ,Sovereign ,Expenditure Support (CARES) Program ,USD750 million 
,,,,,
2020,Maldives ,CRF-Public Health ,Sovereign ,Maldives: COVID-19 Emergency Response and Health Systems Preparedness Project ,Approved Financing: USD7.30 million 
,,,,,
2020,Indonesia ,CRF-Public Health ,Sovereign ,Indonesia: Emergency Response to COVID-19 Program ,Approved Financing: USD250 million 
,,,,,
2020,Uzbekistan ,Transport ,Sovereign ,Uzbekistan: Bukhara Road Network Improvement Project (Phase 1) ,Approved Financing: USD165.5 million 
,,,,,
2020,Pakistan ,CRF-Economic Resilience/PBF ,Sovereign ,Pakistan: COVID-19 Active Response and Expenditure Support (CARES) Program ,Approved Financing: USD500 million 
,,,,,
2020,India ,CRF-Economic Resilience/PBF ,Sovereign ,India: COVID-19 Active Response and Expenditure Support (CARES) ,Approved Financing: USD750 million 
,,,,,
2020,Mongolia ,CRF-Economic Resilience/PBF ,Sovereign ,Mongolia: COVID-19 Rapid Response Program ,Approved Financing: USD100 million 
,,,,,
2020,Georgia ,CRF-Public Health ,Sovereign ,Georgia: Emergency COVID-19 Response Project ,Approved Financing: USD100 million 
,,,,,
2020,Bangladesh ,CRF-Economic Resilience/PBF ,Sovereign ,Bangladesh: COVID-19 Active Response and Expenditure Support (CARES) Program ,Approved Financing: USD250 million 
,,,,,
2020,Indonesia ,CRF-Economic Resilience/PBF ,Sovereign ,Indonesia: COVID-19 Active Response and Expenditure Support Program ,Approved Financing: USD750 million 
,,,,,
2020,India ,CRF-Public Health ,Sovereign ,India: COVID-19 Emergency Response and Health Systems Preparedness Project ,Approved Financing: USD500 million 
,,,,,
2020,Bangladesh ,Water ,Sovereign ,Bangladesh: Dhaka Sanitation Improvement ,Approved Financing: USD170 million 
,,,,,
2020,Multicountry ,Multi-sector ,Nonsovereign ,Multicountry: Keppel ,Approved Financing: USD150 million 
,,,,,
2020,China ,CRF-Public Health ,Sovereign ,China: Emergency Assistance to China Public Health Infrastructure Project ,Approved Financing: USD355 million 
,,,,,
2020,Uzbekistan ,Water ,Sovereign ,Uzbekistan: Bukhara Region Water Supply and Sewerage (BRWSSP) ,Approved Financing: USD385.1 million 
,,,,,
2020,Bangladesh ,Transport ,Sovereign ,Bangladesh: Sylhet to Tamabil Road Upgrade Project ,Approved Financing: USD404 million 
,,,,,
2020,Oman ,Energy ,Nonsovereign ,Oman: Ibri II 500MW Solar PV Independent Power Plant Project ,Approved Financing: USD60 million 
,,,,,
2020,Bangladesh ,Energy ,Sovereign ,Bangladesh: Dhaka and West Zone Transmission Grid Expansion Project ,Approved Financing: USD200 million 
,,,,,
2019,Pakistan ,Transport ,Sovereign ,Pakistan: Karachi Bus Rapid Transit Red Line Project ,Approved Financing: USD71.81 million 
,,,,,
2019,Sri Lanka ,Urban ,Sovereign ,Sri Lanka: Support to Colombo Urban Regeneration Project ,Approved Financing: USD200 million 
,,,,,
2019,Sri Lanka ,Other ,Sovereign ,Sri Lanka: Reduction of Landslide Vulnerability by Mitigation Measures (RLVMM) Project ,Approved Financing: USD80 million 
,,,,,
2019,India ,Transport ,Sovereign ,India: Mumbai Urban Transport Project - Phase III (MUTP) ,Approved Financing: USD500 million 
,,,,,
2019,Bangladesh ,Water ,Sovereign ,Bangladesh: Municipal Water Supply and Sanitation Project ,Approved Financing: USD100 million 
,,,,,
2019,Bangladesh ,Energy ,Sovereign ,Bangladesh: Power System Upgrade and Expansion ,Approved Financing: USD120 million 
,,,,,
2019,Cambodia ,Digital Infrastructure and Technology ,Nonsovereign ,Cambodia: Fiber Optic Communication Network Project ,Approved Financing: USD75 million 
,,,,,
2019,China ,Energy ,Sovereign ,China: Beijing-Tianjin- Hebei Low Carbon Energy Transition and Air Quality Improvement Project ,Approved Financing: USD500 million 
,,,,,
2019,Egypt ,Multi-sector ,Nonsovereign ,Egypt: National Bank of Egypt On-Lending Facility for Infrastructure ,Approved Financing: USD150 million 
,,,,,
2019,India ,Energy ,Nonsovereign ,India: L&T- Sustainable Infrastructure on-lending Facility ,Approved Financing: USD100 million 
,,,,,
2019,India ,Multi-sector ,Nonsovereign ,India: Tata Cleantech Sustainable Infrastructure On- Lending Facility ,Approved Financing: USD75 million 
,,,,,
2019,India ,Water ,Sovereign ,India: West Bengal Major Irrigation and Flood Management ,Approved Financing: USD145 million 
,,,,,
2019,Kazakhstan ,Energy ,Nonsovereign ,Kazakhstan: Zhanatas 100 MW Wind Power Plant ,Approved Financing: USD46.7 million 
,,,,,
2019,Lao PDR ,Transport ,Sovereign ,Lao People’s Democratic Republic: National Road 13 Improvement and Maintenance Project ,Approved Financing: USD40 million 
,,,,,
2019,Multicountry ,Multi-sector ,Nonsovereign ,Multicountry: Asia Climate Bond Portfolio ,Approved Financing: USD500 million 
,,,,,
2019,Multicountry ,Multi-sector ,Nonsovereign ,Multicountry: Asia Investment Limited Partnership Fund (Previously: Asia Investment Fund) ,Approved Financing: USD75 million 
,,,,,
2019,Multicountry ,Multi-sector ,Nonsovereign ,Multicountry: CITIC Capital Pan Eurasia Fund ,Approved Financing: USD125.0 million 
,,,,,
2019,Multicountry ,Energy ,Nonsovereign ,Multicountry: SUSI Asia Energy Transition Fund ,Approved Financing: USD100.0 million 
,,,,,
2019,Nepal ,Energy ,Sovereign ,Nepal: Power Distribution System Upgrade and Expansion Project ,Approved Financing: USD112.3 million 
,,,,,
2019,Nepal ,Energy ,Nonsovereign ,Nepal: Upper Trishuli-1 Hydropower Project ,Approved Financing: USD90 million 
,,,,,
2019,Pakistan ,Water ,Sovereign ,Pakistan: Karachi Water and Sewerage Services Improvement ,Approved Financing: USD40 million 
,,,,,
2019,Singapore ,Multi-sector ,Nonsovereign ,Singapore: Infrastructure Private Capital Mobilization Platform ,Approved Financing: USD54 million 
,,,,,
2019,Türkiye ,Energy ,Nonsovereign ,Türkiye: Efeler 97.6MWE Geothermal Power Plant Expansion Project ,Approved Financing: USD100 million 
,,,,,
2019,Türkiye ,Urban ,Sovereign ,Türkiye: Istanbul Seismic Risk Mitigation and Emergency Preparedness Project ,Approved Financing: USD300 million 
,,,,,
2019,Türkiye ,Energy ,Sovereign ,Türkiye: TKYB Renewable Energy and Energy Efficiency On- Lending Facility ,Approved Financing: USD300 million 
,,,,,
2019,Uzbekistan ,Rural Infrastructure and Agriculture Development ,Sovereign ,Uzbekistan: Rural Infrastructure Development Project (Previously: Prosperous Villages Project) ,Approved Financing: USD82 million 
,,,,,
2018,India ,Transport ,Sovereign ,India: Andhra Pradesh Rural Roads ,Approved Financing: USD455 million 
,,,,,
2018,Multicountry ,Multi- sector ,Nonsovereign ,Multicountry: AIIB Asia ESG Enhanced Credit Managed Portfolio ,Approved Financing: USD500 million 
,,,,,
2018,Bangladesh ,Energy ,Nonsovereign ,Bangladesh: Bangladesh Bhola IPP ,Approved Financing: USD60 million 
,,,,,
2018,Egypt ,Water ,Sovereign ,"Egypt: Sustainable Rural Sanitation Services Program, Phase-2 ",Approved Financing: USD300 million 
,,,,,
2018,India ,Water ,Sovereign ,India: Andhra Pradesh Urban Water Supply and Septage Management Improvement ,Approved Financing: USD400 million 
,,,,,
2018,India ,Transport ,Sovereign ,India: Madhya Pradesh Rural Connectivity ,Approved Financing: USD140 million 
,,,,,
2018,India ,Multi- sector ,Nonsovereign ,India: National Investment and Infrastructure Fund Phase I ,Approved Financing: USD100 million 
,,,,,
2018,Indonesia ,Urban ,Sovereign ,Indonesia: Mandalika Urban and Tourism Infrastructure ,Approved Financing: USD248.4 million 
,,,,,
2018,Indonesia ,Water ,Sovereign ,Indonesia: Strategic Irrigation Modernization and Urgent Rehabilitation Project ,Approved Financing: USD250 million 
,,,,,
2018,Türkiye ,Energy ,Sovereign ,Türkiye: TSKB Sustainable Energy and Infrastructure On-lending Facility ,Approved Financing: USD200 million 
,,,,,
2018,Türkiye ,Energy ,Sovereign ,Türkiye: Tuz Golu Türkiye Gas Storage Expansion Project ,Approved Financing: USD600 million 
,,,,,
2018,India ,Transport ,Nonsovereign ,India: OSE InvIT ,Approved Financing: USD50 million 
,,,,,
2017,Indonesia ,Water ,Sovereign ,Indonesia: Dam Operational Improvement and Safety Project Phase II ,Approved Financing: USD125 million 
,,,,,
2017,Bangladesh ,Energy ,Sovereign ,Bangladesh: Natural Gas Infrastructure and Efficiency Improvement ,Approved Financing: USD60 million 
,,,,,
2017,China ,Energy ,Nonsovereign ,China: Beijing Air Quality Improvement and Coal Replacement ,Approved Financing: USD250 million 
,,,,,
2017,Egypt ,Energy ,Nonsovereign ,Egypt: Egypt Round II Solar PV Feed-in Tariffs Program ,Approved Financing: USD210 million 
,,,,,
2017,Georgia ,Transport ,Sovereign ,Georgia: Batumi Bypass Road ,Approved Financing: USD114 million 
,,,,,
2017,India ,Energy ,Sovereign ,India: Andhra Pradesh 24x7 – Power For All ,Approved Financing: USD160 million 
,,,,,
2017,India ,Transport ,Sovereign ,India: Bangalore Metro Rail Project - Line R6 ,Approved Financing: USD335 million 
,,,,,
2017,India ,Transport ,Sovereign ,India: Gujarat Rural Roads (MMGSY) ,Approved Financing: USD329 million 
,,,,,
2017,India ,Energy ,Sovereign ,India: Transmission System Strengthening (Tamil Nadu) ,Approved Financing: USD100 million 
,,,,,
2017,Indonesia ,Urban ,Sovereign ,Indonesia: Regional Infrastructure Development Fund ,Approved Financing: USD100 million 
,,,,,
2017,Multicountry ,Multi-sector ,Nonsovereign ,Multicountry: International Finance Corporation Emerging Asia Fund ,Approved Financing: USD150 million 
,,,,,
2017,Oman ,Digital Infrastructure and Technology ,Nonsovereign ,Oman: Oman Broadband Infrastructure ,Approved Financing: USD152.1 million 
,,,,,
2017,Philippines ,Water ,Sovereign ,Philippines: Metro Manila Flood Management ,Approved Financing: USD207.6 million 
,,,,,
2017,Tajikistan ,Energy ,Sovereign ,"Tajikistan: Nurek Hydropower Rehabilitation, Phase I ",Approved Financing: USD60 million 
,,,,,
2017,India ,Multi-sector ,Nonsovereign ,India: North Haven India Infrastructure Fund (Previously: India Infrastructure Fund) ,Approved Financing: USD150 million 
,,,,,
2016,Bangladesh ,Energy ,Sovereign ,Bangladesh: Distribution System Upgrade and Expansion ,Approved Financing: USD165 million 
,,,,,
2016,Azerbaijan ,Energy ,Sovereign ,Azerbaijan: Trans Anatolian Natural Gas Pipeline Project (TANAP) ,Approved Financing: USD600 million 
,,,,,
2016,Indonesia ,Urban ,Sovereign ,Indonesia: National Slum Upgrading Project ,Approved Financing: USD216.5 million 
,,,,,
2016,Myanmar ,Energy ,Nonsovereign ,Myanmar: Myingyan 225 MW Combined Cycle Gas Turbine (CCGT) Power Plant Project ,Approved Financing: USD20.0 million 
,,,,,
2016,Oman ,Transport ,Sovereign ,Oman: Duqm Port Commercial Terminal and Operational Zone Development ,Approved Financing: USD265 million 
,,,,,
2016,Pakistan ,Transport ,Sovereign ,Pakistan: National Motorway M-4 (Shorkot-Khanewal Section) ,Approved Financing: USD100 million 
,,,,,
2016,Pakistan ,Energy ,Sovereign ,Pakistan: Tarbela 5 Hydropower Extension ,Approved Financing: USD300 million 
,,,,,
2016,Tajikistan ,Transport ,Sovereign ,Tajikistan: Dushanbe- Uzbekistan Border Road Improvement ,Approved Financing: USD27.5 million 
,,,,,
,,,,,
